first_seen,last_seen,Keyword_x,Suggestion,is_new,blogpost_created,category,blogpost_title,silot_terms,cornerstone,cluster,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022
2022-07-12,2022-07-12,jeux paralympique,carates en la piel,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique 100 m,True,False,,,,,22,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique aviron,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique basket,True,False,,,,,23,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique basket 2021,True,False,,,,,23,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique biathlon,True,False,,,,,11,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique contre la montre,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique cyclisme,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique cyclisme sur route,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique escrime,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique foot,True,False,,,,,22,EUR,,500.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique football,True,False,,,,,6,EUR,,500.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique france,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball,True,False,,,,,16,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball 2016,True,False,,,,,16,EUR,,500.0,â,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball 2021,True,False,,,,,16,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique hockey,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique judo,True,False,,,,,25,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique judo 2021,True,False,,,,,25,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique marathon,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique natation,True,False,,,,,5,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique patinage artistique,True,False,,,,,22,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique patinage artistique 1992,True,False,,,,,22,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique patinage artistique 2022,True,False,,,,,22,EUR,,500.0,-90%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique perche,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique relais,True,False,,,,,22,EUR,,500.0,-99%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique saut en hauteur,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique ski francais,True,False,,,,,22,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique tennis,True,False,,,,,2,EUR,,500.0,900%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique triathlon,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique vtt,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique natation,True,False,,,,,5,EUR,,500.0,0%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeu paralympique natation,True,False,,,,,7,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeu paralympique programme,True,False,,,,,7,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympique albertville 92,True,False,,,,,22,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1896,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1900,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1936 jesse owens,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2022 oran,True,False,,,,,26,EUR,,500.0,9900%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 2023,True,False,,,,,26,EUR,,500.0,900%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 30 juillet 2021,True,False,,,,,12,EUR,,500.0,â,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 3000m steeple,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 31 juillet 2021,True,False,,,,,12,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 50 km marche,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 68,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 72,True,False,,,,,26,EUR,,500.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 76,True,False,,,,,26,EUR,,500.0,900%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 800m,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 84,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 88,True,False,,,,,26,EUR,,500.0,0%,0%,Low,2.0,0.2,0.51,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 92,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 96,True,False,,,,,26,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques biathlon 2022,True,False,,,,,11,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques budapest,True,False,,,,,26,EUR,,500.0,0%,900%,Low,1.0,,,,,,,,,,,,,,,,,,
